S1,S2,S3,S4,S5,S6,S7,S8,House
1201,2302,3504,4201,5104,6403,7115,8301,R
1101,2303,3503,4103,5106,6301,7113,8302,H
1202,2302,3301,4206,5106,6303,7103,8302,H
1301,2301,3504,4201,5206,6503,7106,8101,G
1201,2302,3504,4203,5102,6503,7102,8301,S
1301,2304,3301,4105,5105,6104,7109,8101,R
1102,2103,3201,4305,5305,6304,7111,8102,H
1202,2401,3302,4304,5103,6402,7104,8102,H
1102,2402,3301,4303,5306,6404,7109,8202,S
1301,2404,3201,4301,5304,6104,7112,8202,S
1302,2201,3104,4103,5103,6601,7101,8201,H
1301,2203,3104,4205,5306,6603,7108,8101,H
1201,2201,3101,4103,5304,6501,7102,8101,S
1301,2202,3402,4206,5303,6402,7104,8201,S
1201,2101,3403,4301,5302,6401,7103,8101,G
1302,2104,3204,4301,5301,6503,7114,8102,H
1101,2102,3203,4304,5103,6302,7107,8302,H
1101,2402,3304,4201,5304,6404,7111,8101,H
1201,2103,3204,4202,5304,6603,7107,8301,S
1202,2401,3302,4305,5203,6304,7112,8301,H
1202,2201,3501,4303,5301,6401,7107,8302,G
1302,2403,3303,4103,5303,6602,7111,8202,S
1101,2402,3404,4105,5102,6202,7114,8201,H
1201,2303,3401,4102,5304,6304,7105,8101,S
1302,2402,3104,4302,5303,6602,7112,8301,H
1101,2301,3402,4305,5304,6501,7106,8201,R
1101,2401,3204,4302,5305,6201,7107,8302,H
1301,2303,3302,4205,5202,6104,7101,8101,G
1202,2203,3504,4201,5305,6102,7102,8102,H
1302,2401,3504,4101,5305,6504,7110,8102,H
1202,2204,3204,4206,5306,6203,7111,8101,S
1101,2304,3502,4105,5304,6102,7114,8201,H
1301,2304,3403,4102,5207,6604,7106,8202,R
1102,2103,3304,4201,5104,6402,7110,8101,S
1302,2402,3504,4206,5301,6101,7101,8101,G
1201,2301,3502,4303,5101,6103,7110,8302,G
1102,2202,3103,4102,5106,6602,7114,8302,S
1302,2304,3304,4204,5301,6503,7109,8302,G
1202,2304,3504,4201,5301,6103,7101,8101,S
1302,2203,3302,4102,5106,6404,7103,8202,H
1201,2403,3203,4302,5301,6601,7109,8301,R
1302,2404,3402,4304,5302,6503,7114,8101,G
1201,2403,3301,4203,5201,6201,7104,8201,H
1101,2304,3201,4102,5305,6504,7105,8301,G
1101,2304,3102,4202,5201,6404,7114,8201,R
1102,2203,3203,4302,5301,6504,7102,8201,H
1302,2203,3201,4301,5206,6502,7109,8302,G
1202,2403,3401,4104,5306,6604,7106,8201,S
1201,2303,3302,4301,5306,6502,7114,8102,S
1201,2203,3103,4205,5207,6304,7106,8102,H
1302,2303,3502,4105,5205,6501,7112,8102,H
1202,2204,3104,4205,5201,6403,7108,8101,H
1202,2202,3403,4204,5104,6401,7113,8201,G
1101,2301,3404,4301,5302,6604,7108,8201,R
1301,2204,3201,4203,5101,6103,7103,8201,R
1102,2403,3301,4102,5203,6201,7109,8202,S
1101,2302,3503,4101,5106,6203,7114,8201,R
1201,2302,3504,4303,5204,6204,7113,8201,R
1301,2102,3202,4206,5305,6204,7111,8202,S
1102,2104,3304,4301,5206,6604,7115,8201,H
1101,2101,3201,4102,5101,6501,7105,8101,G
1202,2404,3304,4205,5303,6201,7113,8101,G
1202,2404,3304,4103,5305,6401,7105,8301,S
1201,2102,3103,4205,5307,6601,7105,8102,G
1102,2303,3503,4102,5104,6404,7106,8102,H
1302,2202,3102,4304,5206,6401,7112,8302,G
1301,2303,3401,4303,5105,6603,7111,8201,R
1101,2102,3303,4204,5303,6202,7112,8301,R
1302,2102,3503,4202,5302,6404,7112,8302,H
1302,2102,3504,4305,5206,6502,7105,8101,G
1201,2404,3401,4206,5202,6302,7102,8101,S
1101,2403,3302,4301,5206,6601,7105,8302,G
1301,2402,3203,4306,5304,6301,7104,8202,H
1101,2102,3502,4103,5104,6303,7111,8301,R
1301,2104,3102,4105,5204,6501,7105,8301,G
1302,2303,3502,4102,5105,6204,7101,8301,S
1101,2201,3202,4304,5305,6504,7109,8101,G
1301,2302,3403,4206,5307,6104,7112,8302,G
1102,2203,3202,4203,5103,6201,7104,8202,H
1102,2202,3301,4101,5102,6603,7107,8301,S
1202,2301,3302,4205,5207,6502,7113,8101,G
1201,2303,3303,4102,5302,6502,7115,8201,R
1101,2402,3502,4306,5207,6304,7111,8302,H
1301,2201,3303,4202,5204,6604,7109,8101,R
1301,2404,3101,4105,5305,6604,7110,8302,R
1302,2102,3504,4305,5204,6201,7113,8302,G
1201,2302,3502,4206,5303,6503,7113,8102,R
1302,2204,3101,4104,5305,6304,7105,8301,H
1301,2203,3502,4306,5302,6303,7106,8201,R
1102,2104,3304,4102,5103,6204,7113,8201,S
1201,2302,3303,4303,5205,6403,7115,8202,R
1201,2202,3503,4206,5302,6301,7102,8101,S
1302,2104,3301,4205,5101,6102,7101,8102,H
1301,2102,3304,4205,5304,6604,7103,8101,R
1202,2404,3101,4306,5301,6103,7108,8301,R
1102,2304,3203,4305,5301,6101,7101,8202,R
1102,2202,3304,4104,5201,6601,7104,8102,H
1301,2203,3304,4201,5206,6201,7112,8101,G
1202,2201,3402,4305,5101,6604,7111,8201,R
1101,2304,3503,4201,5102,6204,7102,8201,H
1301,2303,3504,4303,5206,6503,7110,8201,S
1102,2403,3403,4203,5305,6204,7115,8202,S
1102,2201,3301,4105,5105,6402,7106,8102,S
1102,2201,3404,4304,5205,6602,7102,8102,H
1302,2201,3201,4206,5303,6303,7111,8301,R
1102,2204,3104,4203,5205,6603,7105,8302,H
1301,2402,3504,4103,5101,6602,7102,8101,S
1301,2404,3101,4303,5303,6603,7106,8301,R
1302,2103,3403,4205,5102,6301,7104,8102,H
1201,2303,3201,4306,5103,6101,7113,8302,G
1201,2403,3204,4304,5201,6204,7105,8101,S
1201,2304,3502,4105,5202,6602,7106,8202,G
1101,2401,3403,4306,5301,6504,7108,8301,G
1201,2301,3404,4102,5104,6603,7109,8201,R
1301,2404,3301,4102,5204,6202,7107,8201,G
1201,2404,3102,4202,5306,6501,7114,8302,R
1202,2101,3301,4205,5302,6202,7106,8102,G
1201,2301,3201,4101,5306,6503,7103,8302,G
1302,2304,3303,4103,5104,6401,7102,8102,R
1101,2402,3504,4303,5101,6302,7112,8201,G
1301,2403,3204,4301,5207,6201,7104,8201,R
1202,2404,3303,4201,5306,6502,7103,8302,H
1202,2302,3301,4105,5105,6101,7111,8201,H
